# Vin Vd Vin Id

-2.000000e+00 -9.187388e-01 -2.000000e+00 -1.081261e-02 
-1.990000e+00 -9.096397e-01 -1.990000e+00 -1.080360e-02 
-1.980000e+00 -9.005406e-01 -1.980000e+00 -1.079459e-02 
-1.970000e+00 -8.914415e-01 -1.970000e+00 -1.078558e-02 
-1.960000e+00 -8.823424e-01 -1.960000e+00 -1.077658e-02 
-1.950000e+00 -8.732433e-01 -1.950000e+00 -1.076757e-02 
-1.940000e+00 -8.641442e-01 -1.940000e+00 -1.075856e-02 
-1.930000e+00 -8.550451e-01 -1.930000e+00 -1.074955e-02 
-1.920000e+00 -8.459460e-01 -1.920000e+00 -1.074054e-02 
-1.910000e+00 -8.368469e-01 -1.910000e+00 -1.073153e-02 
-1.900000e+00 -8.277478e-01 -1.900000e+00 -1.072252e-02 
-1.890000e+00 -8.186487e-01 -1.890000e+00 -1.071351e-02 
-1.880000e+00 -8.095496e-01 -1.880000e+00 -1.070450e-02 
-1.870000e+00 -8.004506e-01 -1.870000e+00 -1.069549e-02 
-1.860000e+00 -7.913515e-01 -1.860000e+00 -1.068649e-02 
-1.850000e+00 -7.822524e-01 -1.850000e+00 -1.067748e-02 
-1.840000e+00 -7.731533e-01 -1.840000e+00 -1.066847e-02 
-1.830000e+00 -7.640542e-01 -1.830000e+00 -1.065946e-02 
-1.820000e+00 -7.549551e-01 -1.820000e+00 -1.065045e-02 
-1.810000e+00 -7.458560e-01 -1.810000e+00 -1.064144e-02 
-1.800000e+00 -7.367569e-01 -1.800000e+00 -1.063243e-02 
-1.790000e+00 -7.276578e-01 -1.790000e+00 -1.062342e-02 
-1.780000e+00 -7.185587e-01 -1.780000e+00 -1.061441e-02 
-1.770000e+00 -7.094596e-01 -1.770000e+00 -1.060540e-02 
-1.760000e+00 -7.003605e-01 -1.760000e+00 -1.059639e-02 
-1.750000e+00 -6.912614e-01 -1.750000e+00 -1.058739e-02 
-1.740000e+00 -6.821623e-01 -1.740000e+00 -1.057838e-02 
-1.730000e+00 -6.730632e-01 -1.730000e+00 -1.056937e-02 
-1.720000e+00 -6.639642e-01 -1.720000e+00 -1.056036e-02 
-1.710000e+00 -6.548651e-01 -1.710000e+00 -1.055135e-02 
-1.700000e+00 -6.457660e-01 -1.700000e+00 -1.054234e-02 
-1.690000e+00 -6.366669e-01 -1.690000e+00 -1.053333e-02 
-1.680000e+00 -6.275678e-01 -1.680000e+00 -1.052432e-02 
-1.670000e+00 -6.184687e-01 -1.670000e+00 -1.051531e-02 
-1.660000e+00 -6.093696e-01 -1.660000e+00 -1.050630e-02 
-1.650000e+00 -6.002705e-01 -1.650000e+00 -1.049729e-02 
-1.640000e+00 -5.911715e-01 -1.640000e+00 -1.048829e-02 
-1.630000e+00 -5.820724e-01 -1.630000e+00 -1.047928e-02 
-1.620000e+00 -5.729733e-01 -1.620000e+00 -1.047027e-02 
-1.610000e+00 -5.638742e-01 -1.610000e+00 -1.046126e-02 
-1.600000e+00 -5.547751e-01 -1.600000e+00 -1.045225e-02 
-1.590000e+00 -5.456761e-01 -1.590000e+00 -1.044324e-02 
-1.580000e+00 -5.365770e-01 -1.580000e+00 -1.043423e-02 
-1.570000e+00 -5.274779e-01 -1.570000e+00 -1.042522e-02 
-1.560000e+00 -5.183789e-01 -1.560000e+00 -1.041621e-02 
-1.550000e+00 -5.092798e-01 -1.550000e+00 -1.040720e-02 
-1.540000e+00 -5.001807e-01 -1.540000e+00 -1.039819e-02 
-1.530000e+00 -4.910817e-01 -1.530000e+00 -1.038918e-02 
-1.520000e+00 -4.819826e-01 -1.520000e+00 -1.038017e-02 
-1.510000e+00 -4.728835e-01 -1.510000e+00 -1.037116e-02 
-1.500000e+00 -4.637845e-01 -1.500000e+00 -1.036215e-02 
-1.490000e+00 -4.546855e-01 -1.490000e+00 -1.035315e-02 
-1.480000e+00 -4.455864e-01 -1.480000e+00 -1.034414e-02 
-1.470000e+00 -4.364874e-01 -1.470000e+00 -1.033513e-02 
-1.460000e+00 -4.273884e-01 -1.460000e+00 -1.032612e-02 
-1.450000e+00 -4.182894e-01 -1.450000e+00 -1.031711e-02 
-1.440000e+00 -4.091904e-01 -1.440000e+00 -1.030810e-02 
-1.430000e+00 -4.000914e-01 -1.430000e+00 -1.029909e-02 
-1.420000e+00 -3.909924e-01 -1.420000e+00 -1.029008e-02 
-1.410000e+00 -3.818934e-01 -1.410000e+00 -1.028107e-02 
