# V_Solar_35 I_Solar_35 V_Solar_45 I_Solar_45 V_Solar_55 I_Solar_55 V_Solar_65 I_Solar_65 V_Solar_75 I_Solar_75
0.423	1.770	0.396	1.700	0.381	1.590	0.350	1.760	0.325	2.050
0.421	2.000	0.394	1.970	0.376	1.880	0.348	1.900	0.322	2.410
0.419	2.280	0.393	2.250	0.374	2.090	0.345	2.180	0.318	2.780
0.416	2.590	0.391	2.800	0.372	2.390	0.343	2.460	0.315	3.050
0.414	2.860	0.385	2.860	0.369	2.680	0.340	2.770	0.309	3.620
0.409	3.280	0.377	3.630	0.366	3.010	0.338	3.020	0.302	4.150
0.404	3.690	0.369	4.240	0.363	3.300	0.335	3.300	0.294	4.880
0.400	4.010	0.362	4.690	0.355	3.990	0.332	3.610	0.280	5.550
0.396	4.330	0.351	5.390	0.350	4.480	0.328	3.950	0.268	6.200
0.393	4.610	0.338	6.100	0.342	4.900	0.322	4.380	0.250	6.780
0.387	4.960	0.315	7.010	0.330	5.620	0.316	4.800	0.226	7.400
0.380	5.430	0.283	7.860	0.325	5.870	0.306	5.400	0.212	7.680
0.375	5.700	0.257	8.340	0.316	6.310	0.296	6.000	0.189	8.180
0.369	6.050	0.237	8.620	0.303	6.830	0.269	6.900	0.168	8.460
0.353	6.730	0.218	8.820	0.290	7.280	0.251	7.430	0.120	8.840
0.341	7.160	0.196	8.990	0.275	7.720	0.230	7.860	0.066	9.080
0.324	7.630	0.171	9.130	0.254	8.190	0.191	8.400	0.030	9.140
0.313	7.800	0.157	9.190	0.226	8.610	0.166	8.680	0.010	9.190
0.298	8.150	0.120	9.320	0.199	8.930	0.121	8.910	0.000	9.210
0.288	8.310	0.085	9.400	0.172	9.140	0.070	9.110	0.000	9.210
0.276	8.510	0.067	9.440	0.147	9.290	0.020	9.200	0.000	9.210
0.258	8.710	0.036	9.470	0.113	9.420	0.000	9.220	0.000	9.210
0.234	8.960	0.000	9.640	0.093	9.490	0.000	9.220	0.000	9.210
0.227	8.970	0.000	9.640	0.056	9.560	0.000	9.220	0.000	9.210
0.120	9.440	0.000	9.640	0.029	9.630	0.000	9.220	0.000	9.210
0.099	9.490	0.000	9.640	0.011	9.640	0.000	9.220	0.000	9.210
0.052	9.550	0.000	9.640	0.000	9.660	0.000	9.220	0.000	9.210
0.000	9.600	0.000	9.640	0.000	9.660	0.000	9.220	0.000	9.210
